--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
011.847  000.009  000.009: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
011.850  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
011.854  000.002  000.002: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
011.857  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
011.861  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
011.864  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
011.867  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
011.869  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
011.873  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
011.876  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
011.885  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
011.888  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
011.893  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
011.896  000.001  000.001: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
011.937  000.007  000.007: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
011.946  000.005  000.005: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
011.957  000.009  000.009: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
011.995  000.037  000.037: require('scrollbar.handlers.cursor')
012.460  000.003  000.003: require('vim.F')
012.547  000.498  000.494: require('vim.diagnostic')
012.550  000.544  000.047: require('scrollbar.handlers.diagnostic')
012.558  000.005  000.005: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
012.563  000.003  000.003: sourcing nvim_exec2() called at /home/ususstudios/.config/nvim/init.lua:0
013.056  000.040  000.040: require('nvim-treesitter.utils')
013.686  000.089  000.089: require('vim.treesitter.language')
013.723  000.034  000.034: require('vim.func')
013.793  000.067  000.067: require('vim.func._memoize')
013.855  000.371  000.181: require('vim.treesitter.query')
